date, pm25, pm10, o3, no2, so2, co
2024/6/1, 61, 29, 39, 7, , 2
2024/6/2, 52, 22, 32, 11, , 2
2024/6/3, 37, 27, 32, 15, , 2
2024/6/4, 61, 22, 30, 7, , 2
2024/6/5, 41, 29, 30, 16, 1, 2
2024/6/6, 62, 28, 33, 15, , 2
2024/6/7, 62, 22, 29, 14, , 2
2024/6/8, 46, 20, 30, 13, , 2
2024/6/9, 38, 17, 29, 13, , 2
2024/6/10, 34, 19, 29, 10, , 2
2024/6/11, 28, 18, 31, 11, , 2
2024/6/12, 24, 21, 38, 15, , 2
2024/6/13, 40, 20, 26, 17, , 2
2024/6/14, 41, 17, 30, 11, , 2
2024/6/15, 31, 17, 32, 8, , 2
2024/6/16, 25, 21, 34, 12, , 2
2024/6/17, 30, 21, 26, 25, , 3
2024/6/18, 39, 19, 33, 13, , 2
2024/6/19, 38, 19, 33, 15, , 2
2024/6/20, 30, 22, 31, 18, , 2
2024/6/21, 46, 22, 33, 9, , 2
2024/6/22, 45, 20, 38, 13, , 2
2024/6/23, 44, 24, 45, 20, , 2
2024/6/24, 44, 24, 51, 17, , 2
2024/6/25, 49, 22, 31, 17, , 2
2024/6/26, 54, , , , , 
2024/5/1, 83, 38, 38, 18, , 3
2024/5/2, 76, 27, 31, 16, , 3
2024/5/3, 58, 22, 32, 21, , 3
2024/5/4, 45, 15, 41, 20, 1, 2
2024/5/5, 28, 22, 41, 18, , 2
2024/5/6, 48, 21, 40, 15, , 2
2024/5/7, 51, 19, 33, 14, , 3
2024/5/8, 44, 28, 37, 21, , 3
2024/5/9, 67, 27, 40, 20, , 3
2024/5/10, 71, 20, 42, 11, , 3
2024/5/11, 51, 24, 54, 13, , 3
2024/5/12, 52, 31, 41, 20, , 3
2024/5/13, 69, 29, 49, 21, , 3
2024/5/14, 59, 24, 29, 26, 2, 4
2024/5/15, 60, 25, 37, 20, , 3
2024/5/16, 67, 26, 35, 14, , 3
2024/5/17, 67, 36, 44, 22, , 3
2024/5/18, 72, 34, 48, 16, , 2
2024/5/19, 71, 27, 36, 11, , 2
2024/5/20, 56, 23, 42, 17, , 3
2024/5/21, 54, 19, 39, 12, , 3
2024/5/22, 47, 22, 33, 11, , 3
2024/5/23, 48, 28, 30, 22, , 3
2024/5/24, 71, 18, 33, 18, , 3
2024/5/25, 46, 19, 33, 18, , 3
2024/5/26, 46, 20, 37, 10, , 2
2024/5/27, 39, 20, 35, 13, , 3
2024/5/28, 41, 18, 32, 8, , 3
2024/5/29, 38, 20, 33, 11, , 2
2024/5/30, 30, 20, 36, 13, , 2
2024/5/31, 43, 31, 31, 9, , 2
2024/4/1, 37, 18, 34, 18, , 3
2024/4/2, 32, 19, 33, 17, , 3
2024/4/3, 34, 24, 36, 13, , 2
2024/4/4, 42, 22, 35, 15, , 2
2024/4/5, 39, 21, 34, 21, , 2
