date, pm25, pm10, o3, no2, so2, co
2024/6/1, 52, 41, , 13, 4, 6
2024/6/2, 89, 53, , 11, 5, 6
2024/6/3, 106, 35, , 11, 4, 6
2024/6/4, 72, 22, , 8, 4, 4
2024/6/5, 49, 25, , 5, 4, 3
2024/6/6, 61, 26, , 5, 3, 3
2024/6/7, 56, 30, , 5, 4, 4
2024/6/8, 73, 51, , 4, 3, 8
2024/6/9, 93, 42, , 2, 3, 5
2024/6/10, 85, 42, , 6, 4, 6
2024/6/11, 91, 29, , 5, 3, 4
2024/6/12, 47, 21, , 5, 3, 5
2024/6/13, 53, 19, , 4, 3, 5
2024/6/14, 49, 21, , 7, 3, 4
2024/6/15, 54, 26, , 8, 4, 4
2024/6/16, 64, 47, , 7, 5, 6
2024/6/17, 103, 42, , 7, 6, 6
2024/6/18, 90, 21, , 5, 4, 3
2024/6/19, 32, 25, , 4, 4, 3
2024/6/20, 48, 19, , 4, 4, 4
2024/6/21, 49, 20, , 4, 3, 3
2024/6/22, 55, 49, , 6, 3, 5
2024/6/23, 85, 26, , 5, 4, 3
2024/6/24, 37, 17, , 5, 4, 3
2024/6/25, 29, 31, , 7, 5, 4
2024/6/26, 71, , , , , 
2024/5/1, 119, 55, , 12, 5, 5
2024/5/2, 114, 46, , 8, 5, 3
2024/5/3, 100, 28, , 8, 4, 3
2024/5/4, 61, 25, , 5, 3, 5
2024/5/5, 51, 46, , 7, 4, 5
2024/5/6, 88, 54, , 8, 4, 5
2024/5/7, 104, 51, , 11, 5, 5
2024/5/8, 97, 70, , 9, 5, 5
2024/5/9, 122, 47, , 5, 3, 4
2024/5/10, 73, 89, , 8, 3, 3
2024/5/11, 108, 33, , 11, 3, 3
2024/5/12, 47, 40, , 9, 4, 4
2024/5/13, 80, 73, , 9, 4, 5
2024/5/14, 99, 36, , 5, 3, 3
2024/5/15, 37, 49, , 11, 5, 5
2024/5/16, 76, 53, , 8, 4, 6
2024/5/17, 83, 38, , 6, 3, 5
2024/5/18, 63, 38, , 8, 3, 5
2024/5/19, 68, 34, , 7, 3, 7
2024/5/20, 78, 34, , 6, 3, 6
2024/5/21, 70, 25, , 8, 3, 6
2024/5/22, 56, 40, , 9, 3, 7
2024/5/23, 75, 36, , 13, 3, 6
2024/5/24, 75, 42, , 10, 3, 5
2024/5/25, 73, 28, , 6, 3, 6
2024/5/26, 61, 16, , 9, 3, 4
2024/5/27, 30, 26, , 14, 4, 5
2024/5/28, 60, 32, , 9, 5, 4
2024/5/29, 71, 28, , 6, 3, 3
