date, pm25, pm10, o3, no2, so2, co
2024/6/1, 50, 28, 46, 11, 4, 8
2024/6/2, 59, 20, 55, 7, 4, 6
2024/6/3, 45, 23, 55, 6, 4, 7
2024/6/4, 46, 38, 67, 13, 5, 10
2024/6/5, 66, 33, 67, 10, 6, 7
2024/6/6, 63, 42, 70, 10, 5, 8
2024/6/7, 75, 26, 59, 7, 3, 3
2024/6/8, 65, 15, 53, 9, 3, 4
2024/6/9, 32, 19, 61, 10, 4, 3
2024/6/10, 37, 39, 61, 14, 5, 5
2024/6/11, 71, 21, 49, 8, 4, 3
2024/6/12, 53, 28, 43, 15, 5, 4
2024/6/13, 54, 17, 39, 7, 5, 3
2024/6/14, 38, 9, 28, 5, 5, 2
2024/6/15, 17, 15, 48, 7, 4, 2
2024/6/16, 21, 17, 41, 6, 4, 2
2024/6/17, 25, 23, 44, 13, 4, 3
2024/6/18, 30, 49, 115, 17, 5, 6
2024/6/19, 72, 46, 86, 15, 4, 4
2024/6/20, 89, 33, 45, 9, 6, 2
2024/6/21, 69, 7, 37, 5, 7, 1
2024/6/22, 14, 6, 24, 3, 4, 3
2024/6/23, 7, 9, 22, 5, 5, 4
2024/6/24, 19, 16, 42, 7, 4, 6
2024/6/25, 35, 34, 48, 12, 5, 7
2024/6/26, 74, , , , , 
2024/5/1, 92, 51, 50, 9, 4, 2
2024/5/2, 75, 118, 109, 20, 7, 7
2024/5/3, 138, 81, 94, 7, 5, 4
2024/5/4, 116, 60, 80, 8, 3, 3
2024/5/5, 119, 55, 50, 8, 4, 4
2024/5/6, 107, 43, 47, 14, 4, 4
2024/5/7, 76, 55, 58, 11, 5, 3
2024/5/8, 93, 33, 46, 8, 3, 3
2024/5/9, 43, 39, 42, 13, 5, 6
2024/5/10, 72, 24, 45, 3, 3, 4
2024/5/11, 31, 25, 43, 6, 4, 3
2024/5/12, 56, 29, , 9, 4, 5
2024/5/13, 60, 19, 40, 6, 4, 3
2024/5/14, 37, 17, 37, 8, 4, 3
2024/5/15, 23, 35, 43, 15, 6, 5
2024/5/16, 63, 37, 79, 11, 5, 5
2024/5/17, 62, 34, 79, 5, 4, 3
2024/5/18, 57, 27, 49, 11, 5, 4
2024/5/19, 48, 33, 48, 15, 6, 4
2024/5/20, 58, 48, 77, 8, 6, 6
2024/5/21, 58, 50, 57, 8, 6, 5
2024/5/22, 79, 31, 51, 3, 5, 4
2024/5/23, 39, 21, 37, 8, 6, 4
2024/5/24, 45, 35, 49, 13, 5, 5
2024/5/25, 64, 10, 47, 6, 3, 5
2024/5/26, 26, 12, 43, 3, 1, 4
2024/5/27, 26, 22, 50, 6, 1, 4
2024/5/28, 58, 27, 48, 11, 2, 5
2024/5/29, 55, 11, 38, 6, 1, 6
2024/5/30, 28, 10, 33, 4, 1, 6
2024/5/31, 29, 17, 30, 9, 2, 6
2024/4/1, 81, 53, 45, 12, 5, 5
2024/4/2, 100, 49, 41, 8, 8, 5
2024/4/3, 102, 40, 42, 8, 7, 4
2024/4/4, 87, 60, 50, 6, 5, 4
2024/4/5, 99, 65, 50, 7, 4, 5
2024/4/6, 107, 36, 47, 5, 3, 5
2024/4/7, 64, 29, 47, 5, 5, 8
2024/4/8, 69, 60, 47, 14, 6, 8
2024/4/9, 125, 111, 108, 18, 8, 9
2024/4/10, 211, 112, 89, 16, 8, 9
2024/4/11, 197, 110, 85, 9, 9, 6
2024/4/12, 137, 81, 76, 8, 12, 5
2024/4/13, 135, 71, 81, 8, 10, 4
2024/4/14, 134, 87, 70, 13, 5, 7
2024/4/15, 171, 51, 43, 7, 2, 5
2024/4/16, 73, 43, 60, 12, 4, 6
2024/4/17, 83, 50, 60, 12, 5, 5
2024/4/18, 100, 43, 48, 11, 7, 4
2024/4/19, 95, 94, 65, 18, 10, 6
2024/4/20, 194, 82, 92, 19, 9, 5
2024/4/21, 178, 104, 113, 18, 11, 7
2024/4/22, 189, 44, 58, 12, 6, 3
2024/4/23, 101, 55, 47, 12, 9, 4
2024/4/24, 128, 43, 46, 8, 9, 4
2024/4/25, 80, 35, 50, 8, 7, 2
2024/4/26, 73, 34, 47, 10, 4, 2
2024/4/27, 80, 39, 74, 8, 4, 3
2024/4/28, 96, 63, 51, 19, 6, 4
2024/4/29, 125, 58, 49, 13, 5, 3
2024/4/30, 118, 51, 53, 12, 5, 3
2024/1/2, 164, 98, 32, 25, 9, 10
2024/1/3, 201, 87, 31, 23, 13, 10
2024/1/4, 184, 56, 31, 15, 10, 6
2024/1/5, 135, 44, 27, 13, 5, 8
2024/1/6, 109, 83, 29, 24, 13, 10
2024/1/7, 179, 51, 29, 13, 13, 6
2024/1/8, 123, 48, 26, 15, 10, 6
2024/1/9, 112, 64, 28, 19, 9, 7
2024/1/10, 155, 58, , 18, 12, 5
2024/1/11, 131, 59, 30, 15, 11, 5
2024/1/12, 136, 60, 27, 20, 8, 5
2024/1/13, 142, 97, 64, 26, 11, 11
2024/1/14, 195, 47, 42, 14, 6, 7
2024/1/15, 103, 46, 51, 16, 8, 7
2024/1/16, 103, 61, 48, 21, 5, 11
2024/1/17, 140, 66, 45, 18, 7, 15
2024/1/18, 147, 61, 13, 23, 6, 10
2024/1/19, 140, 85, 33, 26, 6, 9
2024/1/20, 177, 48, 76, 13, 8, 7
2024/1/21, 116, 33, 63, 9, 8, 5
2024/1/22, 77, 28, 61, 9, 4, 6
2024/1/23, 73, 74, 61, 23, 10, 12
2024/1/24, 163, 45, 23, 16, 6, 17
2024/1/25, 103, 85, 25, 30, 13, 24
2024/1/26, 178, 139, 25, 46, 10, 32
2024/1/27, 255, 188, 24, 43, 12, 20
2024/1/28, 330, 103, 44, 30, 8, 11
2024/1/29, 199, 71, 44, 19, 7, 7
2024/1/30, 143, 65, 32, 19, 20, 8
2024/1/31, 142, 54, 30, 12, 13, 5
2024/2/1, 111, 52, 30, 14, 6, 5
2024/2/2, 104, 84, 35, 21, 10, 10
2024/2/3, 176, 144, 35, 34, 16, 13
2024/2/4, 270, 111, 40, 29, 8, 10
2024/2/5, 218, 120, 40, 31, 18, 13
2024/2/6, 238, 72, 42, 21, 6, 8
2024/2/7, 158, 117, 58, 24, 8, 12
2024/2/8, 216, 106, 54, 19, 6, 13
2024/2/9, 202, 126, 83, 19, 7, 9
2024/2/10, 235, 412, 91, 29, 19, 16
2024/2/11, 475, 85, 91, 12, 9, 8
2024/2/12, 178, 59, 98, 7, 9, 11
2024/2/13, 121, 67, 62, 8, 9, 15
2024/2/14, 136, 25, 35, 4, 5, 5
2024/2/15, 60, 30, 44, 8, 7, 5
2024/2/16, 82, 44, 63, 8, 8, 7
2024/2/17, 93, 47, 54, 7, 11, 8
2024/2/18, 89, 30, 38, 7, 7, 6
2024/2/19, 73, 19, 28, 4, 6, 10
2024/2/20, 48, 25, 25, 6, 6, 9
