date, pm25, pm10, o3, no2, so2, co
2024/6/1, 95, 46, , 13, 5, 5
2024/6/2, 77, 45, , 14, 4, 5
2024/6/3, 76, 51, , 18, 6, 5
2024/6/4, 86, 49, , 14, 3, 5
2024/6/5, 94, 33, , 8, 2, 5
2024/6/6, 77, 46, , 9, 3, 5
2024/6/7, 97, 52, , 15, 3, 5
2024/6/8, 100, 50, , 9, 2, 4
2024/6/9, 100, 24, , 4, 3, 4
2024/6/10, 59, 36, , 7, 3, 4
2024/6/11, 73, 45, , 9, 2, 4
2024/6/12, 80, 40, , 9, 3, 5
2024/6/13, 79, 46, , 7, 3, 5
2024/6/14, 94, 55, , 7, 3, 6
2024/6/15, 114, 50, , 10, 4, 6
2024/6/16, 90, 45, , 9, 4, 4
2024/6/17, 76, 46, , 10, 4, 5
2024/6/18, 79, 27, , 12, 3, 5
2024/6/19, 65, 34, , 8, 2, 5
2024/6/20, 77, 23, , 6, 2, 4
2024/6/21, 59, 20, , 5, 2, 6
2024/6/22, 57, 30, , 6, 2, 4
2024/6/23, 62, 39, , 10, 2, 5
2024/6/24, 63, 32, , 7, 3, 4
2024/6/25, 64, 45, , 8, 4, 6
2024/6/26, 85, , , , , 
2024/5/1, 95, 49, , 18, 4, 4
2024/5/2, 83, 45, , 12, 4, 5
2024/5/3, 80, 42, , 13, 3, 6
2024/5/4, 96, 51, , 12, 2, 6
2024/5/5, 121, 37, , 12, 2, 6
2024/5/6, 76, 51, , 18, 3, 6
2024/5/7, 100, 45, , 13, 3, 4
2024/5/8, 78, 50, , 14, 4, 5
2024/5/9, 91, 60, , 10, 3, 6
2024/5/10, 120, 47, , 9, 2, 6
2024/5/11, 114, 129, , 11, 3, 4
2024/5/12, 154, 92, , 17, 3, 5
2024/5/13, 112, 63, , 13, 4, 5
2024/5/14, 98, 65, , 16, 3, 4
2024/5/15, 107, 45, , 11, 3, 3
2024/5/16, 87, 60, , 12, 3, 6
2024/5/17, 113, 64, , 13, 4, 6
2024/5/18, 133, 58, , 12, 5, 6
2024/5/19, 112, 56, , 13, 4, 6
2024/5/20, 107, 53, , 10, 3, 6
2024/5/21, 106, 49, , 9, 4, 5
2024/5/22, 94, 54, , 14, 5, 5
2024/5/23, 109, 61, , 12, 4, 7
2024/5/24, 126, 56, , 9, 5, 6
2024/5/25, 114, 39, , 7, 3, 5
2024/5/26, 77, 28, , 8, 3, 5
2024/5/27, 72, 39, , 12, 4, 5
2024/5/28, 76, 45, , 10, 4, 4
2024/5/29, 83, 47, , 12, 4, 5
2024/5/30, 113, 50, , 10, 2, 5
2024/5/31, 111, 49, , 10, 4, 7
2024/4/1, 137, 27, 28, 9, 1, 7
2024/4/2, 150, 89, 50, 7, 1, 7
