date, pm25, pm10, o3, no2, so2, co
2024/6/1, 32, 20, 44, 36, 2, 3
2024/6/2, 56, 16, 34, 28, 1, 2
2024/6/3, 47, 27, 49, 31, 2, 3
2024/6/4, 62, 19, 39, 26, 1, 3
2024/6/5, 56, 21, 29, 31, 1, 4
2024/6/6, 63, 15, 40, 27, 1, 3
2024/6/7, 45, 13, 38, 25, 1, 3
2024/6/8, 40, 14, 16, 23, 1, 3
2024/6/9, 38, 11, 16, 16, 2, 1
2024/6/10, 31, 17, 23, 22, 2, 2
2024/6/11, 39, 22, 26, 25, 2, 3
2024/6/12, 53, 24, 27, 25, 2, 3
2024/6/13, 56, 24, 27, 21, 2, 3
2024/6/14, 58, 21, 27, 22, 2, 3
2024/6/15, 53, 17, 22, 19, 2, 2
2024/6/16, 40, 17, 19, 17, 2, 2
2024/6/17, 40, 17, 24, 17, 2, 1
2024/6/18, 41, 15, 20, 19, 1, 2
2024/6/19, 37, 14, 19, 19, 2, 2
2024/6/20, 39, 16, 18, 18, 2, 2
2024/6/21, 46, 22, 20, 19, 2, 2
2024/6/22, 66, 12, 22, 16, 1, 1
2024/6/23, 31, 13, 19, 19, 2, 2
2024/6/24, 32, 21, 17, 21, 2, 1
2024/6/25, 43, 16, 15, 21, 2, 1
2024/6/26, 44, , , , , 
2024/5/1, 59, 24, 46, 28, 1, 3
2024/5/2, 58, 31, 46, 27, 1, 3
2024/5/3, 61, 16, 43, 30, 1, 3
2024/5/4, 46, 15, 36, 34, 1, 3
2024/5/5, 44, 29, 21, 38, 2, 4
2024/5/6, 73, 33, 41, 47, 2, 4
2024/5/7, 80, 29, 63, 31, 1, 4
2024/5/8, 77, 39, 76, 28, 1, 3
2024/5/9, 77, 32, 62, 26, 1, 2
2024/5/10, 61, 38, 38, 34, 1, 2
2024/5/11, 61, 31, 27, 33, 2, 3
2024/5/12, 68, 30, 42, 37, 2, 4
2024/5/13, 73, 32, 50, 32, 1, 3
2024/5/14, 53, 28, 76, 29, 2, 2
2024/5/15, 55, 37, 87, 30, 2, 2
2024/5/16, 69, 32, 58, 35, 1, 3
2024/5/17, 59, 24, 56, 29, 1, 2
2024/5/18, 59, 27, 49, 21, 1, 2
2024/5/19, 64, 12, 29, 24, 1, 2
2024/5/20, 42, 12, 24, 33, 1, 3
2024/5/21, 39, 29, 25, 38, 2, 5
2024/5/22, 75, 17, 21, 36, 1, 3
2024/5/23, 52, 11, 25, 26, 1, 3
2024/5/24, 37, 16, 13, 31, 1, 3
2024/5/25, 44, 14, 20, 21, 1, 2
2024/5/26, 48, 17, 19, 20, 1, 2
2024/5/27, 55, 18, 48, 32, 2, 3
2024/5/28, 52, 30, 50, 21, 1, 1
2024/5/29, 55, 17, 42, 25, 1, 2
2024/5/30, 47, 15, 24, 25, 1, 3
2024/5/31, 47, 12, 29, 24, 1, 2
2024/4/1, 89, 39, 20, 24, 1, 3
2024/4/2, 99, 19, 18, 20, 1, 2
2024/4/3, 51, 16, 19, 16, 1, 2
2024/4/4, 45, 29, 28, 21, 1, 3
2024/4/5, 79, 28, 29, 24, 1, 3
2024/4/6, 66, 25, 23, 21, 2, 2
2024/4/7, 58, 33, 24, 23, 2, 3
2024/4/8, 72, 16, 27, 24, 1, 5
2024/4/9, 43, 29, 65, 27, 1, 3
2024/4/10, 61, 38, 54, 35, 1, 3
2024/4/11, 77, 39, 36, 45, 2, 4
2024/4/12, 85, 33, 33, 38, 2, 4
2024/4/13, 81, 18, 25, 17, 1, 2
2024/4/14, 53, 24, 19, 23, 1, 2
2024/4/15, 67, 25, 21, 22, 2, 2
2024/4/16, 72, 19, 20, 19, 1, 2
2024/4/17, 58, 21, 24, 32, 1, 4
2024/4/18, 59, 23, 19, 22, 1, 3
2024/4/19, 58, 24, 21, 21, 1, 3
2024/4/20, 60, 14, 27, 23, 1, 3
2024/4/21, 41, 23, 12, 35, 3, 5
2024/4/22, 64, 30, 28, 37, 2, 5
2024/4/23, 69, 32, 21, 40, 2, 5
2024/4/24, 80, 22, 30, 25, 1, 4
2024/4/25, 55, 22, 18, 24, 1, 4
2024/4/26, 55, 22, 13, 18, 1, 3
2024/4/27, 48, 17, 38, 21, 1, 2
2024/4/28, 43, 22, 22, 24, 1, 3
2024/4/29, 51, 21, 40, 18, 2, 3
2024/4/30, 50, 20, 31, 39, 1, 4
2024/1/2, 132, 55, 47, 30, 1, 5
2024/1/3, 109, 49, 36, 41, 2, 5
2024/1/4, 101, 31, 42, 32, 1, 4
2024/1/5, 67, 43, 43, 41, 1, 4
2024/1/6, 82, 51, 37, 63, 2, 6
2024/1/7, 109, 49, 58, 26, 1, 4
2024/1/8, 107, 56, 51, 28, 1, 4
2024/1/9, 119, 54, 41, 52, 2, 5
2024/1/10, 110, 35, 33, 39, 1, 5
2024/1/11, 76, 38, 46, 29, 1, 5
2024/1/12, 86, 57, 48, 38, 1, 5
2024/1/13, 125, 46, 56, 33, 1, 4
2024/1/14, 101, 22, 38, 24, 1, 3
2024/1/15, 52, 28, 48, 36, 1, 4
2024/1/16, 61, 37, 43, 23, , 4
2024/1/17, 79, 35, 39, 27, 1, 3
2024/1/18, 70, 28, 33, 31, 1, 3
2024/1/19, 57, 24, 35, 33, 1, 3
2024/1/20, 57, 38, 40, 36, 2, 4
2024/1/21, 79, 29, 37, 24, 1, 5
2024/1/22, 67, 36, 23, 21, 1, 6
2024/1/23, 74, 21, 18, 18, 1, 4
2024/1/24, 52, 35, 19, 31, 2, 4
2024/1/25, 83, 41, 15, 37, 2, 4
2024/1/26, 90, 40, 18, 33, 2, 4
2024/1/27, 89, 50, 18, 37, 2, 4
2024/1/28, 107, 30, 21, 26, 1, 5
2024/1/29, 83, 36, 22, 26, 1, 5
2024/1/30, 94, 38, 29, 31, 1, 4
2024/1/31, 93, 42, 29, 31, 1, 4
2024/2/1, 81, 29, 21, 36, 1, 4
2024/2/2, 68, 24, 26, 34, 1, 3
2024/2/3, 62, 22, 26, 25, 1, 2
2024/2/4, 52, 21, 26, 23, , 2
2024/2/5, 59, 27, 31, 26, , 3
2024/2/6, 75, 38, 29, 23, , 3
2024/2/7, 68, 18, 28, 20, 1, 4
2024/2/8, 50, 12, 10, 21, 1, 7
2024/2/9, 35, 15, 13, 23, 1, 7
2024/2/10, 44, 33, 22, 25, 1, 5
2024/2/11, 90, 33, 33, 32, 1, 5
2024/2/12, 83, 31, 40, 21, , 3
2024/2/13, 62, 37, 39, 23, , 3
2024/2/14, 73, 35, 37, 31, , 4
2024/2/15, 70, 32, 32, 39, 2, 5
2024/2/16, 67, 33, 31, 32, 1, 5
2024/2/17, 73, 26, 32, 25, , 3
2024/2/18, 56, 35, 25, 28, , 3
2024/2/19, 66, 24, 17, 28, 1, 3
2024/2/20, 59, 17, 20, 24, 1, 3
2024/2/21, 50, 23, 23, 27, 1, 3
2024/2/22, 60, 28, 19, 29, 1, 3
2024/2/23, 69, 30, 17, 20, , 4
2024/2/24, 68, 37, 12, 28, 1, 5
2024/2/25, 78, 32, 14, 27, 1, 5
2024/2/26, 73, 42, 22, 29, 1, 5
2024/2/27, 91, 41, 31, 30, 1, 5
2024/2/28, 90, 33, 34, 23, , 4
2024/2/29, 69, 39, 30, 27, 1, 5
2024/3/1, 82, 17, 20, 28, 1, 5
2024/3/2, 40, 25, 20, 31, , 4
2024/3/3, 64, 32, 40, 19, , 4
2024/3/4, 70, 41, 37, 29, , 4
2024/3/5, 73, 31, 22, 28, 1, 4
2024/3/6, 70, 47, 12, 31, 2, 4
2024/3/7, 95, 34, 15, 26, 1, 6
2024/3/8, 73, 29, 49, 28, 1, 5
2024/3/9, 72, 52, 53, 23, 1, 4
2024/3/10, 94, 29, 35, 19, , 4
2024/3/11, 74, 25, 33, 32, 1, 5
2024/3/12, 68, 17, 43, 33, 1, 5
2024/3/13, 48, 54, 54, 31, , 4
2024/3/14, 82, 54, 45, 31, 1, 4
2024/3/15, 87, 60, 38, 31, , 4
2024/3/16, 106, 56, 35, 31, , 3
