date, pm25, pm10, o3, no2, so2, co
2024/6/1, 68, 23, , 4, 3, 3
2024/6/2, 56, 29, , 4, 3, 4
2024/6/3, 64, 28, , 4, 3, 3
2024/6/4, 61, 23, , 4, 2, 3
2024/6/5, 69, 18, , 3, 2, 2
2024/6/6, 44, 17, , 5, 2, 2
2024/6/7, 36, 15, , 3, 2, 3
2024/6/8, 27, 16, , 4, 1, 3
2024/6/9, 45, 11, , 2, 2, 3
2024/6/10, 32, 21, , 3, 2, 3
2024/6/11, 46, 22, , 5, 2, 4
2024/6/12, 46, 14, , 3, 2, 3
2024/6/13, 21, 19, , 4, 2, 4
2024/6/14, 38, 26, , 4, 4, 5
2024/6/15, 65, 19, , 4, 2, 5
2024/6/16, 40, 27, , 5, 2, 6
2024/6/17, 61, 25, , 4, 3, 5
2024/6/18, 53, 29, , 3, 2, 5
2024/6/19, 60, 34, , 3, 2, 5
2024/6/20, 66, 21, , 3, 2, 5
2024/6/21, 44, 23, , 4, 2, 5
2024/6/22, 45, 18, , 3, 2, 4
2024/6/23, 35, 19, , 3, 3, 4
2024/6/24, 35, 18, , 3, 2, 4
2024/6/25, 45, 23, , 3, 1, 4
2024/6/26, 38, , , , , 
2024/5/1, 103, 41, , 4, 3, 5
2024/5/2, 91, 25, , 4, 2, 5
2024/5/3, 56, 47, , 6, 3, 5
2024/5/4, 88, 37, , 7, 3, 5
2024/5/5, 87, 31, , 8, 3, 5
2024/5/6, 64, 32, , 11, 3, 6
2024/5/7, 76, 33, , 7, 2, 7
2024/5/8, 82, 21, , 5, 4, 6
2024/5/9, 48, 22, , 4, 1, 6
2024/5/10, 48, 20, , 4, 1, 5
2024/5/11, 53, 25, , 6, 2, 6
2024/5/12, 63, 21, , 5, 4, 6
2024/5/13, 52, 25, , 6, 2, 6
2024/5/14, 76, 29, , 8, 2, 7
2024/5/15, 69, 22, , 4, 2, 5
2024/5/16, 54, 26, , 3, 2, 4
2024/5/17, 67, 28, , 3, 2, 5
2024/5/18, 75, 25, , 4, 3, 4
2024/5/19, 52, 21, , 7, 2, 5
2024/5/20, 47, 27, , 9, 2, 5
2024/5/21, 60, 28, , 5, 2, 5
2024/5/22, 72, 34, , 9, 2, 6
2024/5/23, 82, 30, , 10, 3, 6
2024/5/24, 63, 19, , 4, 2, 4
2024/5/25, 44, 13, , 2, 2, 3
2024/5/26, 27, 13, , 3, 2, 2
2024/5/27, 29, 18, , 4, 3, 4
2024/5/28, 45, 17, , 3, 2, 3
2024/5/29, 41, 32, , 5, 3, 4
2024/5/30, 59, 19, , 4, 2, 3
2024/5/31, 48, 28, , 4, 2, 3
2024/4/1, 56, 35, , 4, 3, 5
2024/4/2, 88, 47, , 5, 3, 6
2024/4/3, 112, 43, , 5, 3, 5
2024/4/4, 107, 46, , 5, 2, 4
2024/4/5, 96, 57, , 6, 3, 6
2024/4/6, 143, 47, , 5, 2, 4
2024/4/7, 102, 50, , 12, 3, 6
2024/4/8, 119, 49, , 6, 4, 7
2024/4/9, 120, 47, , 6, 3, 8
2024/4/10, 123, 54, , 8, 3, 9
2024/4/11, 145, 56, , 8, 3, 8
2024/4/12, 138, 45, , 7, 3, 5
2024/4/13, 102, 36, , 6, 3, 5
2024/4/14, 85, 42, , 6, 3, 6
2024/4/15, 107, 50, , 5, 2, 7
2024/4/16, 134, 53, , 6, 2, 8
2024/4/17, 134, 41, , 6, 2, 5
2024/4/18, 90, 36, , 5, 2, 5
2024/4/19, 78, 32, , 5, 1, 6
2024/4/20, 63, 31, , 6, 2, 6
2024/4/21, 64, 41, , 4, 2, 5
2024/4/22, 81, 50, , 9, 2, 6
2024/4/23, 89, 42, , 6, 3, 6
2024/4/24, 96, 38, , 5, 2, 4
2024/4/25, 78, 38, , 5, 2, 3
2024/4/26, 80, 45, , 4, 2, 3
2024/4/27, 90, 50, , 6, 3, 5
2024/4/28, 119, 43, , 5, 2, 4
2024/4/29, 78, 47, , 5, 2, 4
2024/4/30, 102, 50, , 6, 3, 5
2024/1/2, 62, 20, , 8, 3, 2
2024/1/3, 49, 46, , 12, 2, 3
2024/1/4, 116, 33, , 10, 2, 3
2024/1/5, 61, 15, , 6, 2, 1
2024/1/6, 39, 39, , 15, 3, 3
2024/1/7, 73, 32, , 12, 4, 2
2024/1/8, 71, 22, , 9, 3, 2
2024/1/9, 63, 31, , 13, 3, 3
2024/1/10, 77, 42, , 18, 2, 3
2024/1/11, 96, 41, , 15, 2, 4
2024/1/12, 85, 33, , 14, 3, 4
2024/1/13, 78, 46, , 15, 3, 5
2024/1/14, 84, 45, , 14, 3, 5
2024/1/15, 87, 37, , 14, 3, 6
2024/1/16, 79, 20, , 7, 2, 4
2024/1/17, 47, 12, , 5, 2, 4
2024/1/18, 26, 17, , 6, 3, 4
2024/1/19, 52, 20, , 8, 2, 4
2024/1/20, 58, 36, , 12, 3, 5
2024/1/21, 83, 27, , 8, 4, 4
2024/1/22, 68, 22, , 6, 2, 5
2024/1/23, 49, 30, , 6, 2, 6
2024/1/24, 91, 29, , 8, 2, 6
2024/1/25, 83, 21, , 8, 2, 6
2024/1/26, 65, 16, , 7, 2, 5
2024/1/27, 45, 16, , 7, 2, 5
2024/1/28, 59, 20, , 9, 2, 6
2024/1/29, 64, 21, , 6, 1, 5
2024/1/30, 62, 23, , 7, 2, 4
2024/1/31, 57, 21, , 6, 1, 4
2024/2/1, 51, 28, , 6, 3, 5
2024/2/2, 81, 36, , 6, 3, 6
2024/2/3, 102, 40, , 4, 2, 6
2024/2/4, 109, 22, , 3, 2, 4
2024/2/5, 58, 30, , 4, 2, 5
2024/2/6, 79, 23, , 3, 2, 5
2024/2/7, 61, 34, , 3, 2, 5
2024/2/8, 92, 33, , 2, 2, 5
2024/2/9, 84, 39, , 4, 2, 8
2024/2/10, 113, 43, , 4, 4, 7
2024/2/11, 114, 38, , 3, 3, 6
2024/2/12, 115, 32, , 2, 2, 6
2024/2/13, 90, 24, , 2, 2, 6
2024/2/14, 67, 21, , 2, 2, 4
2024/2/15, 55, 24, , 4, 2, 5
2024/2/16, 73, 20, , 5, 2, 6
2024/2/17, 89, 21, , 2, 2, 
2024/2/18, 56, 25, , 2, 2, 3
2024/2/19, 55, 35, , 5, 2, 5
2024/2/20, 84, 39, , 4, 2, 5
2024/2/21, 107, 35, , 3, 2, 4
2024/2/22, 94, 38, , 4, 3, 5
2024/2/23, 94, 46, , 4, 3, 6
2024/2/24, 119, 45, , 3, 2, 6
2024/2/25, 110, 38, , 4, 2, 5
2024/2/26, 94, 35, , 4, 2, 4
2024/2/27, 81, 35, , 5, 3, 5
2024/2/28, 81, 32, , 5, 2, 5
2024/2/29, 76, 27, , 6, 4, 4
2024/3/1, 70, 33, , 8, 3, 7
2024/3/2, 98, 43, , 11, 3, 7
2024/3/3, 107, 30, , 4, 2, 5
2024/3/4, 68, 29, , 3, 2, 4
2024/3/5, 70, 23, , 3, 2, 3
2024/3/6, 49, 26, , 5, 3, 4
2024/3/7, 60, 25, , 7, 2, 5
2024/3/8, 62, 36, , 10, 3, 6
2024/3/9, 106, 37, , 8, 4, 6
2024/3/10, 93, 43, , 11, 4, 7
2024/3/11, 106, 33, , 8, 3, 8
2024/3/12, 79, 53, , 14, 3, 9
2024/3/13, 140, 46, , 4, 3, 8
2024/3/14, 117, 44, , 6, 2, 5
2024/3/15, 110, 46, , 5, 3, 4
2024/3/16, 108, 46, , 6, 3, 4
2024/3/17, 103, 52, , 5, 4, 5
2024/3/18, 134, 42, , 6, 3, 5
2024/3/19, 96, 49, , 6, 4, 7
2024/3/20, 108, 46, , 8, 4, 8
2024/3/21, 121, 44, , 5, 3, 7
2024/3/22, 109, 20, , 4, 2, 7
2024/3/23, 78, 20, , 4, 2, 3
2024/3/24, 53, 30, , 4, 2, 3
2024/3/25, 69, 25, , 7, 3, 3
2024/3/26, 64, 43, , 10, 2, 4
2024/3/27, 102, 45, , 8, 2, 5
2024/3/28, 118, 40, , 11, 3, 4
2024/3/29, 96, 40, , 9, 3, 5
2024/3/30, 103, 48, , 4, 2, 6
2024/3/31, 102, 42, , 4, 2, 6
2023/10/1, 54, 16, 21, 7, 3, 5
2023/10/2, 33, 15, 24, 7, 4, 4
