date, pm25, pm10, o3, no2, so2, co
2024/6/1, 25, 16, 29, 2, , 2
2024/6/2, 28, 16, 34, 3, , 3
2024/6/3, 32, 22, , 4, , 3
2024/6/4, 45, 26, , 3, , 2
2024/6/5, 56, 20, , 3, , 2
2024/6/6, 37, 20, , 3, , 4
2024/6/7, 42, 14, , 1, 1, 4
2024/6/8, 34, 21, , 1, , 3
2024/6/9, 43, 18, , 1, 1, 3
2024/6/10, 46, 21, , 2, 2, 3
2024/6/11, 43, 21, , 3, 1, 3
2024/6/12, 39, 20, , 3, , 2
2024/6/13, 46, 22, 36, 2, 1, 2
2024/6/14, 45, 30, 37, 1, 1, 2
2024/6/15, 62, 27, 39, 1, , 2
2024/6/16, 56, 21, , 1, , 3
2024/6/17, 42, 20, 31, 1, 1, 2
2024/6/18, 47, 20, 28, 1, 1, 2
2024/6/19, 50, 19, 31, 1, 1, 1
2024/6/20, 49, 17, 20, 2, 2, 2
2024/6/21, 36, 11, 20, 1, 2, 3
2024/6/22, 18, 12, 19, 2, 1, 3
2024/6/23, 19, 18, , 3, , 4
2024/6/24, 22, 18, , 2, 1, 2
2024/6/25, 32, 15, , 1, 1, 2
2024/6/26, 22, , , , , 
2024/5/1, 50, 19, 23, 2, 1, 3
2024/5/2, 39, 18, 18, 4, 1, 2
2024/5/3, 41, 21, 31, 4, 1, 2
2024/5/4, 54, 23, 25, 2, , 2
2024/5/5, 55, 22, 22, 2, , 1
2024/5/6, 58, 15, 14, 2, , 1
2024/5/7, 39, 20, 22, 2, , 1
2024/5/8, 53, 22, 34, 1, 1, 2
2024/5/9, 55, 24, 33, 1, 2, 3
2024/5/10, 53, 21, 20, 1, 1, 2
2024/5/11, 50, 20, , 2, 1, 2
2024/5/12, 52, 19, , 2, 1, 2
2024/5/13, 47, 13, , 2, 1, 2
2024/5/14, 35, 16, , 1, 1, 3
2024/5/15, 31, 22, , 1, 1, 2
2024/5/16, 40, 20, , 1, 1, 2
2024/5/17, 42, 12, , 2, 2, 2
2024/5/18, 29, 15, , 2, 1, 1
2024/5/19, 34, 17, 31, 4, 1, 3
2024/5/20, 45, 16, 38, 3, 1, 4
2024/5/21, 34, 9, 33, 2, 1, 2
2024/5/22, 23, 17, 32, 2, 1, 3
2024/5/23, 21, 11, 25, 2, 1, 2
2024/5/24, 39, 9, 20, 1, 1, 2
2024/5/25, 19, 15, 15, 1, , 2
2024/5/26, 36, 20, , 2, , 2
2024/5/27, 50, 20, , 4, 1, 3
2024/5/28, 50, 23, 25, 5, 1, 3
2024/5/29, 54, 20, 15, 3, 1, 2
2024/5/30, 49, 16, , 2, , 2
2024/5/31, 30, 13, 24, 4, , 3
2024/4/1, 54, 27, 18, 2, 1, 2
2024/4/2, 57, 29, 17, 1, , 2
2024/4/3, 49, 24, 16, 1, , 2
2024/4/4, 45, 20, 21, 1, 1, 2
2024/4/5, 36, 25, 21, 1, 1, 2
2024/4/6, 58, 25, 19, 1, 1, 2
2024/4/7, 64, 21, 17, 3, 1, 2
2024/4/8, 50, 32, , 5, 1, 2
2024/4/9, 70, 30, , 2, 1, 3
2024/4/10, 70, 25, , 2, 1, 3
2024/4/11, 61, 33, , 2, 1, 2
2024/4/12, 68, 28, , 2, 1, 1
2024/4/13, 65, 26, , 2, 1, 1
2024/4/14, 59, 25, , 2, 1, 1
2024/4/15, 62, 21, 20, 2, 1, 1
