date, pm25, pm10, o3, no2, so2, co
2024/6/1, 57, 50, , 13, 4, 8
2024/6/2, 82, 40, , 14, 4, 6
2024/6/3, 71, 46, , 12, 5, 6
2024/6/4, 79, 62, , 12, 5, 6
2024/6/5, 103, 60, , 12, 4, 6
2024/6/6, 91, 55, , 11, 3, 6
2024/6/7, 92, 40, , 9, 2, 6
2024/6/8, 94, 67, , 12, 3, 9
2024/6/9, 124, 72, , 11, 4, 10
2024/6/10, 138, 71, , 12, 5, 8
2024/6/11, 112, 60, , 11, 4, 6
2024/6/12, 91, 68, , 10, 5, 9
2024/6/13, 110, 32, , 8, 3, 7
2024/6/14, 67, 39, , 7, 3, 7
2024/6/15, 92, 40, , 8, 4, 7
2024/6/16, 72, 42, , 7, 3, 5
2024/6/17, 74, 51, , 9, 4, 6
2024/6/18, 84, 50, , 9, 4, 6
2024/6/19, 78, 41, , 8, 3, 7
2024/6/20, 65, 57, , 12, 3, 8
2024/6/21, 125, 99, , 9, 2, 6
2024/6/22, 137, 76, , 9, 2, 6
2024/6/23, 106, 45, , 7, 3, 4
2024/6/24, 87, 53, , 12, 4, 6
2024/6/25, 79, 64, , 12, 4, 6
2024/6/26, 106, , , , , 
2024/5/1, 62, 53, , 10, 3, 3
2024/5/2, 92, 59, , 14, 3, 4
2024/5/3, 106, 53, , 14, 5, 6
2024/5/4, 100, 75, , 10, 2, 5
2024/5/5, 121, 62, , 14, 2, 6
2024/5/6, 133, 63, , 19, 3, 5
2024/5/7, 114, 69, , 13, 3, 5
2024/5/8, 116, 67, , 8, 4, 4
2024/5/9, 87, 78, , 7, 3, 5
2024/5/10, 95, 227, , 6, 2, 1
2024/5/11, 133, 44, , 11, 2, 2
2024/5/12, 65, 71, , 13, 4, 5
2024/5/13, 106, 82, , 8, 4, 5
2024/5/14, 99, 29, , 5, 2, 1
2024/5/15, 38, 53, , 9, 4, 4
2024/5/16, 71, 76, , 13, 6, 7
2024/5/17, 102, 80, , 14, 5, 10
2024/5/18, 141, 49, , 9, 4, 9
2024/5/19, 94, 22, , 8, 3, 6
2024/5/20, 52, 32, , 13, 4, 6
2024/5/21, 56, 63, , 15, 3, 6
2024/5/22, 116, 59, , 8, 3, 5
2024/5/23, 98, 28, , 9, 3, 4
2024/5/24, 50, 33, , 14, 3, 8
2024/5/25, 78, 25, , 10, 2, 4
2024/5/26, 74, 32, , 15, 2, 2
2024/5/27, 60, 41, , 13, 4, 3
2024/5/28, 73, 59, , 10, 4, 3
2024/5/29, 76, 59, , 10, 3, 4
2024/5/30, 76, 25, , 6, 2, 3
2024/5/31, 38, 37, , 8, 3, 3
2024/4/1, 108, 62, , 13, 5, 5
2024/4/2, 104, 56, , 15, 5, 5
2024/4/3, 90, 48, , 14, 3, 2
2024/4/4, 76, 63, , 14, 4, 3
2024/4/5, 126, 76, , 13, 5, 5
2024/4/6, 151, 69, , 15, 4, 4
2024/4/7, 117, 81, , 17, 4, 5
2024/4/8, 90, 48, , 13, 5, 5
2024/4/9, 67, 64, , 20, 4, 4
2024/4/10, 141, 107, , 25, 5, 8
2024/4/11, 180, 54, , 10, 4, 5
2024/4/12, 113, 64, , 10, 4, 6
2024/4/13, 132, 49, , 15, 4, 7
2024/4/14, 96, 113, , 10, 2, 4
2024/4/15, 131, 54, , 10, 2, 2
2024/4/16, 68, 77, , 21, 4, 4
2024/4/17, 110, 96, , 14, 5, 7
2024/4/18, 135, 70, , 12, 4, 5
2024/4/19, 48, 70, , 11, 6, 7
2024/4/20, 114, 72, , 16, 5, 10
2024/4/21, 123, 73, , 13, 5, 8
2024/4/22, 139, 23, , 7, 3, 5
2024/4/23, 57, 50, , 20, 3, 5
2024/4/24, 84, 88, , 12, 3, 4
2024/4/25, 111, 82, , 15, 3, 5
2024/4/26, 118, 76, , 16, 4, 8
2024/4/27, 122, 37, , 8, 3, 3
2024/4/28, 46, 41, , 13, 3, 5
2024/4/29, 72, 33, , 14, 2, 2
2024/4/30, 71, 39, , 11, 3, 2
2024/1/2, 146, 127, , 34, 2, 13
2024/1/3, 216, 35, , 18, , 6
2024/1/4, 73, 113, , 38, 2, 12
2024/1/5, 199, 40, , 24, 1, 5
2024/1/6, 66, 28, , 16, 1, 2
2024/1/7, 58, 20, , 13, 1, 2
2024/1/8, 42, 61, , 27, 3, 4
2024/1/9, 121, 60, , 28, 3, 6
2024/1/10, 116, 66, , 26, 2, 6
2024/1/11, 134, 94, , 30, 2, 8
2024/1/12, 170, 107, , 38, 3, 12
2024/1/13, 183, 53, , 23, 2, 7
2024/1/14, 97, 27, , 11, , 2
2024/1/15, 39, 57, , 26, 2, 4
2024/1/16, 103, 64, , 24, 2, 5
2024/1/17, 139, 58, , 18, , 5
2024/1/18, 149, 46, , 23, 3, 7
2024/1/19, 101, 41, , 18, 3, 5
2024/1/20, 71, 41, , 15, 3, 7
2024/1/21, 69, 28, , 5, 1, 4
2024/1/22, 40, 16, , 4, 1, 2
2024/1/23, 25, 24, , 9, 1, 5
2024/1/24, 35, 25, , 10, 1, 2
2024/1/25, 43, 47, , 24, 3, 4
2024/1/26, 88, 34, , 13, 2, 2
2024/1/27, 56, 51, , 20, 3, 4
2024/1/28, 98, 72, , 31, 4, 7
2024/1/29, 148, 86, , 29, 3, 12
2024/1/30, 162, 97, , 24, 3, 13
2024/1/31, 169, 95, , 20, 3, 11
2024/2/1, 163, 34, , 12, 4, 5
2024/2/2, 63, 52, , 17, 3, 5
2024/2/3, 109, 76, , 26, 5, 11
2024/2/4, 159, 58, , 20, 6, 10
2024/2/5, 123, 85, , 16, 4, 10
2024/2/6, 169, 66, , 13, 2, 8
2024/2/7, 142, 28, , 7, 2, 3
2024/2/8, 70, 39, , 9, 2, 2
2024/2/9, 88, 131, , 17, 6, 10
2024/2/10, 230, 47, , 6, 4, 3
2024/2/11, 100, 76, , 9, 5, 3
2024/2/12, 164, 122, , 14, 6, 7
2024/2/13, 200, 147, , 21, 5, 11
2024/2/14, 226, 100, , 16, 6, 12
2024/2/15, 169, 39, , 6, 2, 2
2024/2/16, 59, 62, , 6, 3, 3
2024/2/17, 111, 62, , 12, 4, 7
2024/2/18, 128, 66, , 19, 3, 10
2024/2/19, 146, 20, , 3, 2, 1
2024/2/20, 29, 32, , 5, 3, 3
2024/2/21, 50, 33, , 5, 2, 3
2024/2/22, 44, 26, , 8, 3, 4
2024/2/23, 56, 37, , 13, 4, 5
2024/2/24, 65, 59, , 13, 5, 5
2024/2/25, 127, 70, , 13, 4, 7
2024/2/26, 125, 63, , 15, 4, 7
2024/2/27, 110, 58, , 15, 4, 5
2024/2/28, 86, 81, , 24, 5, 11
2024/2/29, 142, 38, , 7, 3, 3
2024/3/1, 77, 28, , 7, 2, 1
2024/3/2, 43, 71, , 14, 2, 5
2024/3/3, 129, 54, , 16, 4, 7
2024/3/4, 101, 61, , 18, 5, 7
2024/3/5, 115, 65, , 13, 4, 6
2024/3/6, 124, 79, , 20, 3, 7
2024/3/7, 161, 66, , 19, 3, 5
2024/3/8, 122, 20, , 9, 2, 2
2024/3/9, 33, 60, , 21, 3, 4
2024/3/10, 105, 87, , 16, 4, 6
2024/3/11, 163, 117, , 28, 6, 10
2024/3/12, 181, 86, , 14, 5, 7
2024/3/13, 158, 76, , 22, 3, 5
2024/3/14, 154, 105, , 20, 4, 6
2024/3/15, 168, 82, , 12, 4, 5
2024/3/16, 150, 98, , 19, 4, 5
2024/3/17, 143, 54, , 6, 2, 2
2024/3/18, 47, 90, , 17, 5, 4
2024/3/19, 130, 106, , 5, 2, 1
2024/3/20, 55, 54, , 10, 2, 3
2024/3/21, 55, 77, , 23, 5, 6
2024/3/22, 129, 66, , 14, 3, 6
2024/3/23, 114, 96, , 37, 7, 14
2024/3/24, 158, 63, , 16, 4, 8
2024/3/25, 103, 59, , 18, 2, 7
2024/3/26, 126, 58, , 14, 3, 8
2024/3/27, 138, 73, , 18, 3, 5
2024/3/28, 153, 294, , 11, 3, 3
2024/3/29, 126, 127, , 12, 3, 3
2024/3/30, 113, 73, , 15, 3, 3
2024/3/31, 126, 84, , 22, 5, 7
2023/10/1, 53, 52, , 19, 4, 5
2023/10/2, 98, 41, , 12, 3, 4
2023/10/3, 71, 35, , 11, 3, 4
2023/10/4, 67, 29, , 14, 4, 4
2023/10/5, 48, 67, , 22, 4, 5
2023/10/6, 121, 63, , 23, 4, 4
2023/10/7, 111, 55, , 23, 3, 4
2023/10/8, 106, 36, , 13, 2, 4
2023/10/9, 64, 35, , 20, 3, 6
2023/10/10, 61, 48, , 25, 3, 7
2023/10/11, 94, 53, , 20, 4, 6
2023/10/12, 107, 45, , 18, 4, 4
2023/10/13, 97, 25, , 22, 2, 2
2023/10/14, 43, 62, , 27, 4, 5
2023/10/15, 105, 38, , 20, 3, 4
2023/10/16, 51, 68, , 22, 5, 6
2023/10/17, 110, 37, , 12, 2, 4
2023/10/18, 81, 22, , 12, 2, 1
2023/10/19, 30, 19, , 10, 3, 1
