date, pm25, pm10, o3, no2, so2, co
2024/6/1, 105, 35, 37, 8, 2, 3
2024/6/2, 82, 54, 70, 9, 2, 4
2024/6/3, 104, 29, 42, 6, 2, 2
2024/6/4, 54, 38, 57, 7, 2, 2
2024/6/5, 58, 61, 40, 12, 3, 2
2024/6/6, 104, 44, 55, 7, 2, 3
2024/6/7, 73, 41, 35, 16, 2, 3
2024/6/8, 69, 40, 56, 12, 2, 2
2024/6/9, 64, 53, 103, 21, 2, 4
2024/6/10, 89, 45, 76, 15, 2, 3
2024/6/11, 64, 53, 100, 21, 2, 4
2024/6/12, 80, 51, 94, 15, 2, 4
2024/6/13, 75, 41, 83, 9, 3, 2
2024/6/14, 62, 55, 124, 13, 3, 3
2024/6/15, 93, 38, 39, 7, 2, 3
2024/6/16, 65, 37, 94, 8, 2, 3
2024/6/17, 76, 32, 85, 6, 2, 2
2024/6/18, 59, 38, 75, 9, 2, 2
2024/6/19, 71, 38, 78, 7, 3, 3
2024/6/20, 74, 26, 57, 5, 2, 3
2024/6/21, 36, 43, 79, 9, 2, 2
2024/6/22, 59, 47, 94, 11, 2, 3
2024/6/23, 64, 67, 77, 7, 3, 2
2024/6/24, 72, 86, 90, 9, 4, 3
2024/6/25, 121, 71, 65, 4, 3, 2
2024/6/26, 107, , , , , 
2024/5/1, 93, 53, 35, 16, 3, 3
2024/5/2, 106, 31, 41, 8, 1, 3
2024/5/3, 74, 33, 36, 7, 1, 3
2024/5/4, 74, 36, 54, 10, 1, 4
2024/5/5, 64, 45, 83, 15, 2, 4
2024/5/6, 76, 63, 89, 24, 2, 5
2024/5/7, 105, 65, 77, 17, 4, 5
2024/5/8, 126, 43, 43, 12, 2, 3
2024/5/9, 65, 44, 61, 10, 1, 3
2024/5/10, 58, 74, 45, 8, 1, 2
2024/5/11, 78, 58, 76, 16, 2, 3
2024/5/12, 66, 69, 94, 21, 3, 3
2024/5/13, 104, 67, 93, 29, 3, 4
2024/5/14, 105, 83, 64, 16, 2, 3
2024/5/15, 89, 61, 88, 13, 4, 4
2024/5/16, 88, 64, 107, 20, 2, 4
2024/5/17, 104, 70, 87, 22, 3, 4
2024/5/18, 110, 47, 73, 6, 2, 3
2024/5/19, 66, 43, 69, 8, 2, 3
2024/5/20, 77, 53, 91, 8, 2, 3
2024/5/21, 94, 53, 91, 9, 3, 3
2024/5/22, 88, 48, 102, 13, 2, 3
2024/5/23, 83, 48, 78, 13, 3, 3
2024/5/24, 82, 48, 64, 7, 2, 4
2024/5/25, 105, 37, 78, 6, 2, 4
2024/5/26, 71, 61, 88, 11, 3, 5
2024/5/27, 100, 54, 58, 8, 5, 3
2024/5/28, 86, 30, 57, 6, 2, 3
2024/5/29, 63, 54, 54, 7, 2, 3
2024/5/30, 72, 74, 70, 17, 2, 3
2024/5/31, 97, 72, 59, 16, 3, 3
2024/4/1, 137, 78, 21, 19, 2, 6
2024/4/2, 132, 65, 38, 16, 2, 4
2024/4/3, 90, 65, 32, 11, 1, 7
2024/4/4, 164, 64, 27, 13, 2, 6
2024/4/5, 160, 74, 45, 23, 1, 7
2024/4/6, 166, 86, 52, 30, 1, 7
2024/4/7, 161, 73, 63, 28, 2, 6
2024/4/8, 165, 62, 50, 23, 1, 4
2024/4/9, 75, 46, 48, 11, 1, 4
2024/4/10, 69, 56, 49, 21, 1, 4
2024/4/11, 94, 65, 56, 25, 2, 5
2024/4/12, 136, 51, 32, 13, 2, 4
2024/4/13, 84, 44, 44, 9, 2, 4
2024/4/14, 74, 76, 49, 19, 2, 5
2024/4/15, 106, 88, 30, 17, 4, 6
2024/4/16, 94, 71, 61, 19, 2, 6
2024/4/17, 116, 69, 52, 16, 3, 4
2024/4/18, 101, 158, 37, 8, 1, 2
2024/4/19, 124, 118, 31, 17, 2, 3
2024/4/20, 153, 119, 51, 22, 3, 3
2024/4/21, 136, 101, 59, 25, 2, 4
2024/4/22, 130, 371, 40, 11, 1, 2
2024/4/23, 168, 141, 40, 29, 2, 2
2024/4/24, 157, 80, 65, 24, 2, 4
2024/4/25, 114, 70, 65, 29, 2, 4
2024/4/26, 115, 65, 61, 20, 2, 4
2024/4/27, 104, 61, 69, 8, 3, 3
2024/4/28, 115, 42, 34, 6, 2, 3
2024/4/29, 63, 28, 37, 8, 1, 2
2024/4/30, 30, 43, 48, 12, 2, 3
2024/1/2, 172, 83, 26, 25, 2, 8
2024/1/3, 144, 73, 24, 26, 3, 7
2024/1/4, 135, 82, 20, 33, 2, 8
2024/1/5, 165, 93, 19, 37, 3, 9
2024/1/6, 174, 73, 22, 29, 3, 7
2024/1/7, 115, 69, 11, 23, 4, 7
2024/1/8, 120, 100, 5, 38, 4, 12
2024/1/9, 175, 93, 24, 35, 3, 11
2024/1/10, 153, 82, 8, 29, 4, 7
2024/1/11, 153, 111, 14, 44, 4, 12
2024/1/12, 184, 119, 21, 41, 5, 13
2024/1/13, 210, 133, 30, 42, 4, 15
2024/1/14, 246, 108, 27, 29, 3, 9
2024/1/15, 179, 76, 14, 17, 2, 7
2024/1/16, 167, 56, 8, 17, 2, 6
2024/1/17, 158, 63, 5, 20, 2, 8
2024/1/18, 171, 89, 9, 18, 2, 9
2024/1/19, 187, 66, 8, 15, 1, 9
2024/1/20, 164, 66, 14, 19, 2, 10
2024/1/21, 167, 47, 25, 9, 2, 4
2024/1/22, 87, 18, 27, 7, 3, 2
2024/1/23, 39, 30, 24, 14, 2, 3
2024/1/24, 72, 55, 27, 17, 3, 4
2024/1/25, 136, 60, 27, 23, 3, 5
2024/1/26, 143, 72, 29, 29, 4, 6
2024/1/27, 160, 86, 27, 32, 3, 6
2024/1/28, 165, 88, 28, 31, 5, 8
2024/1/29, 167, 95, 30, 33, 5, 10
2024/1/30, 177, 120, 31, 35, 4, 12
2024/1/31, 218, 133, 6, 32, 4, 14
2024/2/1, 251, 90, 19, 17, 2, 12
2024/2/2, 198, 57, 19, 10, 2, 6
2024/2/3, 155, 64, 22, 11, 2, 8
2024/2/4, 168, 61, 22, 10, 2, 8
2024/2/5, 164, 60, 20, 14, 2, 8
2024/2/6, 162, 72, 25, 18, 2, 10
2024/2/7, 176, 74, 35, 17, 3, 9
2024/2/8, 173, 86, 35, 18, 2, 10
2024/2/9, 188, 99, 38, 21, 4, 10
2024/2/10, 187, 225, 33, 20, 7, 9
2024/2/11, 271, 100, 36, 17, 5, 6
2024/2/12, 158, 102, 47, 23, 4, 9
2024/2/13, 189, 105, 53, 32, 4, 12
2024/2/14, 194, 90, 26, 15, 3, 6
2024/2/15, 129, 54, 32, 6, 2, 2
2024/2/16, 89, 71, 31, 16, 3, 4
2024/2/17, 142, 79, 37, 23, 3, 6
2024/2/18, 165, 601, 22, 16, 2, 5
2024/2/19, 288, 613, 20, 7, 2, 3
2024/2/20, 210, 83, 19, 6, 2, 3
2024/2/21, 94, 37, 20, 6, 1, 5
2024/2/22, 120, 52, 23, 8, 2, 6
2024/2/23, 155, 46, 25, 9, 2, 4
2024/2/24, 143, 59, 37, 10, 2, 5
2024/2/25, 156, 83, 36, 19, 3, 6
2024/2/26, 187, 82, 30, 22, 3, 7
2024/2/27, 174, 73, 38, 13, 3, 5
2024/2/28, 167, 90, 30, 18, 3, 7
2024/2/29, 186, 64, 27, 10, 2, 5
2024/3/1, 155, 52, 21, 11, 2, 3
2024/3/2, 120, 41, 34, 16, 2, 4
2024/3/3, 111, 70, 31, 24, 4, 6
2024/3/4, 156, 77, 14, 25, 3, 7
2024/3/5, 166, 80, 10, 22, 3, 7
2024/3/6, 167, 65, 31, 18, 2, 4
2024/3/7, 107, 89, 39, 19, 2, 5
2024/3/8, 113, 73, 31, 18, 3, 4
2024/3/9, 102, 87, 32, 29, 3, 7
2024/3/10, 157, 83, 20, 30, 3, 9
2024/3/11, 155, 64, 40, 21, 2, 6
2024/3/12, 108, 60, 35, 13, 3, 4
2024/3/13, 94, 75, 34, 26, 3, 6
2024/3/14, 142, 79, 52, 20, 4, 5
2024/3/15, 165, 62, 43, 9, 2, 3
2024/3/16, 111, 320, 30, 16, 2, 4
2024/3/17, 172, 203, 26, 12, 1, 3
2024/3/18, 170, 75, 37, 7, 2, 2
2024/3/19, 115, 140, 36, 15, 2, 2
2024/3/20, 137, 107, 37, 25, 3, 3
2024/3/21, 154, 90, 42, 31, 3, 4
2024/3/22, 154, 117, 56, 32, 3, 6
2024/3/23, 151, 124, 37, 13, 3, 6
2024/3/24, 159, 38, 25, 9, 2, 6
2024/3/25, 110, 37, 51, 18, 3, 6
2024/3/26, 75, 68, 23, 29, 3, 7
2024/3/27, 145, 100, 34, 22, 2, 7
2024/3/28, 136, 68, 42, 21, 2, 4
2024/3/29, 78, 62, 45, 28, 2, 4
2024/3/30, 94, 75, 38, 26, 2, 3
2024/3/31, 148, 90, 54, 32, 3, 6
2023/10/1, 102, 24, 27, 9, 2, 3
2023/10/2, 63, 25, 33, 10, 2, 5
2023/10/3, 57, 22, 15, 14, 1, 6
2023/10/4, 58, 27, 26, 10, 1, 4
2023/10/5, 67, 24, 24, 9, 2, 3
2023/10/6, 53, 36, 40, 18, 2, 6
2023/10/7, 72, 48, 23, 18, 2, 7
2023/10/8, 88, 54, 37, 23, 3, 8
2023/10/9, 91, 69, 41, 27, 3, 9
2023/10/10, 132, 73, 28, 19, 3, 8
2023/10/11, 145, 61, 26, 14, 1, 8
2023/10/12, 133, 41, 35, 13, 2, 5
2023/10/13, 74, 38, 37, 16, 2, 4
2023/10/14, 63, 39, 35, 21, 2, 5
2023/10/15, 57, 65, 51, 29, 4, 6
2023/10/16, 126, 82, 23, 25, 3, 8
2023/10/17, 150, 34, 19, 13, 2, 3
2023/10/18, 64, 24, 28, 12, 1, 2
2023/10/19, 45, 43, 31, 20, 2, 4
2023/10/20, 62, 59, 12, 29, 2, 5
2023/10/21, 100, 69, 22, 32, 3, 7
2023/10/22, 131, 75, 32, 34, 3, 8
2023/10/23, 128, 77, 29, 32, 3, 8
2023/10/24, 146, 67, 30, 26, 3, 8
2023/10/25, 118, 69, 29, 32, 3, 8
2023/10/26, 113, 92, 23, 42, 4, 8
2023/10/27, 150, 85, 43, 34, 3, 8
2023/10/28, 146, 72, 39, 33, 3, 7
2023/10/30, 116, 76, 24, 37, 3, 8
2023/10/31, 137, 66, 11, 30, 2, 9
2023/11/1, 108, 69, 18, 31, 3, 10
2023/11/2, 116, 65, 39, 26, 3, 8
2023/11/3, 95, 48, 23, 17, 2, 5
2023/11/4, 65, 55, 11, 18, 3, 5
2023/11/5, 116, 61, 25, 14, 2, 4
2023/11/6, 69, 48, 18, 19, 2, 4
2023/11/7, 37, 68, 13, 28, 4, 6
2023/11/8, 144, 78, 12, 36, 3, 9
2023/11/9, 153, 85, 24, 32, 4, 8
2023/11/10, 131, , , , , 
2023/11/14, 161, 92, 17, 36, 3, 9
2023/11/15, 183, 218, 14, 27, 3, 7
2023/11/16, 167, 246, 26, 23, 2, 5
2023/11/17, 157, 78, 18, 27, 3, 8
2023/11/18, 129, 73, 15, 32, 4, 9
2023/11/19, 142, 88, 9, 43, 4, 10
2023/11/20, 172, 103, 12, 42, 6, 11
2023/11/21, 188, 107, 22, 40, 5, 12
2023/11/22, 202, 95, 27, 19, 2, 4
2023/11/23, 105, 81, 25, 16, 2, 2
2023/11/24, 86, 64, 16, 16, 5, 5
2023/11/25, 89, 64, 9, 19, 3, 5
2023/11/26, 113, 92, 3, 38, 3, 11
2023/11/27, 169, 78, 24, 29, 3, 10
2023/11/28, 134, 72, 16, 21, 4, 7
2023/11/29, 84, 75, 19, 20, 4, 5
2023/11/30, 105, 39, 20, 14, 2, 3
2023/12/1, 61, 63, 19, 24, 4, 6
2023/12/2, 119, 83, 18, 32, 4, 8
2023/12/3, 172, 102, 15, 39, 5, 11
2023/12/4, 190, 93, 21, 38, 3, 12
